task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
return,1,ATI,core_financial_changes,expanding,44,1.0,6.0,6.0,0,0,0.0,,0,0.0,,1
return,1,ATI,core_ols,expanding,44,0.0,6.0,6.0,0,0,6.0,7.425130652774374,6,6.0,,1
return,1,ATI,core_ols_financial_ext,expanding,44,0.0,8.0,8.0,0,0,8.0,7.813403014556572,8,8.0,,1
return,1,ATI,core_pe_difference,expanding,44,1.0,6.0,5.0,0,1,0.0,,0,0.0,,1
return,1,ATI,core_pe_lag1,expanding,44,1.0,6.0,5.0,0,1,0.0,,0,0.0,,1
return,1,ATI,core_pe_level,expanding,44,1.0,6.0,5.0,0,1,0.0,,0,0.0,,1
return,1,ATI,core_pe_percentage,expanding,44,1.0,6.0,5.0,0,1,0.0,,0,0.0,,1
return,1,ATI,core_ridge,expanding,44,0.5454545454545454,6.0,6.0,0,0,0.0,7.410936463070611,0,0.0,,1
return,1,ATI,core_ridge_financial_ext,expanding,44,0.5454545454545454,8.0,8.0,0,0,0.0,7.804383888215319,0,0.0,,1
return,1,ATI,distributed_all_lag1,expanding,44,0.8181818181818182,12.0,12.0,2,0,0.0,20.888835952039095,0,0.0,,1
return,1,ATI,distributed_all_lag3,expanding,44,1.0,18.0,18.0,0,0,0.0,,0,0.0,,1
return,1,ATI,distributed_lag1,expanding,44,0.8181818181818182,10.0,10.0,0,0,0.0,20.61185681804064,0,0.0,,1
return,1,ATI,distributed_lag3,expanding,44,1.0,16.0,16.0,0,0,0.0,,0,0.0,,1
return,1,ATI,elastic_full,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,,2
return,1,ATI,financial_only,expanding,44,1.0,22.0,18.0,0,4,0.0,,0,0.0,,2
return,1,ATI,financial_valuation,expanding,44,1.0,32.0,27.0,0,5,0.0,,0,0.0,,2
return,1,ATI,forest_full,expanding,44,0.0,80.0,72.0,5,8,,3481.597830128843,73,0.0,398.0,2
return,1,ATI,lasso_full,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,,2
return,1,ATI,ridge_full,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,,2
return,1,ATI,ridge_rolling84,rolling84,44,1.0,80.0,72.0,0,8,0.0,,0,0.0,,4
return,1,ATI,without_business,expanding,44,1.0,74.0,66.0,0,8,0.0,,0,0.0,,2
return,1,ATI,without_financial,expanding,44,0.8181818181818182,54.0,50.0,3,4,0.0,441.77242323158737,0,0.0,,1
return,1,ATI,without_industry,expanding,44,0.8181818181818182,75.0,67.0,5,8,0.0,2990.661921217714,0,0.0,,2
return,1,ATI,without_market,expanding,44,0.8181818181818182,63.0,57.0,5,6,0.0,2101.8572954470374,0,0.0,,2
return,1,ATI,without_momentum,expanding,44,1.0,74.0,66.0,0,8,0.0,,0,0.0,,2
return,1,ATI,without_risk,expanding,44,0.5454545454545454,70.0,62.0,5,8,0.0,2606.4719134851775,0,0.0,,2
return,1,ATI,without_valuation,expanding,44,0.8181818181818182,66.0,60.0,2,6,0.0,1276.847725767571,0,0.0,,2
return,1,CRS,A1_market,expanding,44,0.5454545454545454,14.0,12.0,0,2,0.0,182.99646471659202,0,0.0,,1
return,1,CRS,A2_financial,expanding,44,0.5454545454545454,36.0,31.0,8,5,0.0,382.7565868242857,0,0.0,,1
return,1,CRS,A3_valuation,expanding,44,0.5454545454545454,46.0,39.0,12,7,0.0,673.2955246762959,0,0.0,,1
return,1,CRS,A4_momentum,expanding,44,0.5454545454545454,52.0,45.0,12,7,0.0,719.0591548138555,0,0.0,,1
return,1,CRS,A5_risk,expanding,44,0.45454545454545453,62.0,55.0,12,7,0.5180857231959977,1484.592950469851,0,64.0,,1
